skill_id,skill
776,Application Programming Interface (API)
777,Arboriculture
778,Arithmetic
779,Arithmetic Geometry
780,Asana
781,Aspect-Oriented Programming
782,AutoCAD
783,Automated Billing Systems
784,Automated Marketing Software
785,Basecamp
786,Behavioral Geography
787,Behaviour-Based Robotics
788,Benchmarking
789,Bengali
790,Bhojpuri
792,Biogeography
793,Blogging
794,BREW
795,Budget Planning
796,Build Tool
797,Burmese
798,Business Continuity Planning
799,Cardiology
800,Chatterbot
801,Children Geography
803,Classis Mac OS
804,Clear Communication
805,Climatology
807,Coastal Geography
808,Cognitive
809,Cognos Analytics
811,Combinatorial Geometry
812,Combinatorial Number Theory
813,Community Psychology
814,Commutative Ring
815,Computational Economics
816,Computational Number Theory
817,Computer Algebra
818,Configuration Management
819,Constructive Mathematics
820,Consumer Behaviour
821,Content Management System (CMS)
822,Convex Geometry
823,Corel Draw
824,Counseling Psychology
825,Cray Supercomputer
826,Critical Geography
828,Cultural  Geography
829,Cuniculture
831,Cybernetics
832,Database Design
834,DEC Minicomputer
835,Dermatology
836,Descriptive Statistics
837,Development Geography
838,Developmental Robotics
839,Dialectometry
840,Differential Geometry
841,Differential Topology
842,Digital Media
843,Digital Photography
844,Diophantine Geometry
845,Discrete Geometry
847,Drupal
848,Eastern Punjabi
849,Econometrics
851,Editor
853,Egyptian Arabic
854,Elementary Number Theory
855,Endocrinology
857,English
858,Enterprise Resource Planning (ERP)
859,Enumerative Combinatorics
861,Epigenetic Robotics
862,ETAP
863,Evolutionary Robotics
864,Experimental Economics
865,External Combinatorics
866,Fabrication
867,Facial Recognition
868,Feminist Economics
869,Feminist Geography
870,Field Theory
871,Floriculture
872,Fluid Mechanics
874,Free Hand
875,French
876,Functional Decomposition
877,Fungiculture
878,Gastroenterology
879,General Algebraic System
880,General Topology
881,Geometric Number Theory
882,Geomorphology
884,German
885,Git
886,Github
887,GitLab
888,Glaciology
889,Google Docs
890,Google Forms
891,Google Sheets
892,Google Slides
893,Graphical User Interface (GUI)
894,Green Economics
895,Greenhopper
896,Gujarati
897,Gynecology
898,Hakka Chinese
899,Handwriting Recognition
900,Hausa
901,Health Geography
903,Heavyweight
904,Heliciculture
905,Hindi
906,Historical Geography
907,Hydroculture
908,Hydrology
909,IBM Mainframe
911,Immunology
912,Indonesian
914,Inferential Statistics
915,Intellectual Property Law
916,Intelligent Word Recognition
917,Interactive Media
918,Internal Medicine
919,International Politics
920,Iranian Persian
921,Islamic Economics
922,Italian
923,Japanese
924,Javanese
926,Jin Chinese
927,JIRA
929,Kannada
930,Know Your Customer (KYC)
931,Korean
932,Landscape Ecology
933,Language Acquisition
934,Language Identification
935,Legal Psychology
936,Linux
937,Local Government Studies
938,Machine Translation
939,macOS
940,Maithili
941,Malay
942,Malayalam
943,Mandarin Chinese
944,Marathi
945,Mariculture
946,Marxist Geography
949,Mechanics of Deformable Solids
950,Mechanics of Structures
951,Media Psychology
952,Metamodel
954,Microsoft .NET
955,Microsoft Excel
956,Microsoft Office
957,Military Geography
958,Military Psychology
959,Min Nan Chinese
962,Multisim
963,Natural Language Understanding
964,Natural Language User Interface
965,Needs Analysis
967,Neurology
970,Numerical Competence
971,Object Recognition
972,Object-Oriented Programming (OOP)
973,Occupational Health Psychology
975,Odia
976,Olericulture
978,Ophthalmology
979,Optical Mark Recognition
980,Oracle
981,Oracle Netsuite
982,Order Theory
983,Palaeogeography
984,Palm PDA
985,Parser Creation Tool
986,Particle Mechanics
987,Pastoral Psychology
988,Pathology
989,Pathophysiology
990,Payment Processing
991,Pediatrics
992,Performance Review
993,Pharmacy
994,Physiology
995,Polish
996,Political Geography
998,Polynomial
999,Population Geography
1000,Portuguese
1001,Predicate Logic
1002,Probability Theory
1003,Process Model
1004,Product Lifecycle Management
1005,Product Roadmap
1006,Programming
1007,Project Planning
1009,Property Management Software
1010,Property Management System
1011,Propositional Logic
1012,Prototyping
1013,Pspice
1014,Psychiatry
1015,Psychological Testing
1018,Public Policy
1019,QA Testing
1020,Quality Assurance
1021,Quality Control
1022,Quantitative Report
1023,Quantitative Research
1024,Question Answering
1025,Radiology
1026,Rally
1028,Responsive Design
