index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Business Strategy,2.0,2.0,11.0,3.0,15.0,17.0,,,50.0
Branding,3.0,4.0,26.0,2.0,6.0,9.0,,,50.0
Competition,1.0,2.0,23.0,,13.0,11.0,,,50.0
Sequence,3.0,2.0,17.0,2.0,14.0,11.0,,,49.0
Visualization,2.0,,24.0,,10.0,13.0,,,49.0
Prototyping,1.0,1.0,19.0,1.0,16.0,10.0,1.0,,49.0
ISO 9001,6.0,2.0,18.0,,13.0,10.0,,,49.0
Aquaculture,1.0,3.0,19.0,2.0,12.0,12.0,,,49.0
Food Science,,4.0,20.0,2.0,16.0,6.0,,,48.0
Content Marketing,1.0,5.0,26.0,,10.0,5.0,1.0,,48.0
Pragmatics,2.0,2.0,18.0,2.0,10.0,14.0,,,48.0
Web Application Development,1.0,4.0,26.0,,9.0,8.0,,,48.0
Swift,1.0,2.0,19.0,2.0,17.0,5.0,1.0,,47.0
Bagging,,2.0,24.0,,12.0,8.0,,,46.0
Links,1.0,5.0,15.0,,14.0,10.0,1.0,,46.0
Electronic and Electrical Engineering,,,18.0,,14.0,12.0,1.0,1.0,46.0
Sketch,2.0,3.0,18.0,1.0,9.0,13.0,,,46.0
Audio,2.0,2.0,19.0,3.0,16.0,4.0,,,46.0
Product Management,1.0,1.0,23.0,,8.0,13.0,,,46.0
Business Model,4.0,1.0,13.0,2.0,16.0,10.0,,,46.0
Gradle,2.0,5.0,26.0,1.0,4.0,7.0,,,45.0
Mapping,1.0,2.0,14.0,1.0,17.0,10.0,,,45.0
Mobile Application Development,1.0,4.0,22.0,,9.0,8.0,,,44.0
Conveyancing,,3.0,18.0,1.0,13.0,9.0,,,44.0
Asset Management,1.0,3.0,20.0,3.0,12.0,5.0,,,44.0
Support Engineering,2.0,,23.0,2.0,11.0,5.0,1.0,,44.0
Product Marketing,4.0,4.0,20.0,1.0,6.0,7.0,2.0,,44.0
LaTeX,1.0,1.0,11.0,1.0,16.0,13.0,,,43.0
Vietnamese,3.0,,22.0,1.0,8.0,9.0,,,43.0
Adminitrative Assistance,1.0,2.0,18.0,1.0,7.0,14.0,,,43.0
Keras,1.0,2.0,13.0,2.0,14.0,10.0,,,42.0
Agriculture,1.0,4.0,15.0,,13.0,7.0,2.0,,42.0
Mariculture,1.0,4.0,15.0,,13.0,7.0,2.0,,42.0
Utility,5.0,3.0,20.0,,7.0,7.0,,,42.0
Big Data,2.0,2.0,13.0,2.0,12.0,10.0,1.0,,42.0
iOS,2.0,2.0,17.0,1.0,11.0,8.0,1.0,,42.0
Email Marketing,2.0,,16.0,2.0,13.0,9.0,,,42.0
Github,2.0,3.0,13.0,,15.0,9.0,,,42.0
Interior Design,1.0,3.0,14.0,,12.0,11.0,,,41.0
Journalism,3.0,5.0,11.0,1.0,7.0,13.0,,1.0,41.0
Music,,3.0,17.0,2.0,13.0,6.0,,,41.0
Reasoning,,3.0,19.0,2.0,10.0,7.0,,,41.0
Manufacturing Engineering,1.0,1.0,18.0,,10.0,11.0,,,41.0
Complexity,2.0,,20.0,,11.0,6.0,,1.0,40.0
Property Maintenance,2.0,2.0,13.0,1.0,8.0,14.0,,,40.0
Real Estate,1.0,3.0,15.0,2.0,12.0,7.0,,,40.0
Transformer,1.0,2.0,18.0,,12.0,7.0,,,40.0
A/B Testing,,1.0,13.0,,9.0,17.0,,,40.0
Technical Documentation,2.0,4.0,19.0,1.0,6.0,7.0,1.0,,40.0
Performance Management,,6.0,17.0,,10.0,7.0,,,40.0
Life Science,1.0,1.0,16.0,1.0,13.0,7.0,,,39.0
Hadoop,1.0,1.0,12.0,2.0,14.0,8.0,1.0,,39.0
