index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Data Management,,,10,2,6,6,,,24,Computer Science
Array,,3,6,,8,7,,,24,Computer Science
Data Visualization,1,,13,,5,4,,,23,Data Science
WordPress,1,1,11,,5,5,,,23,Business
Office Management,,2,5,2,11,3,,,23,Business
Physics,1,3,11,2,2,4,,,23,Others
Middleware,2,2,13,,5,1,,,23,Computer Science
Benchmarking,,2,13,,6,2,,,23,Business
eCommerce Platforms,,1,14,,3,4,,,22,Business
Confluence,,1,5,,5,11,,,22,Information Technology (IT)
Route Management,,3,12,,4,3,,,22,Information Technology (IT)
Information Security,1,,8,,4,9,,,22,Information Technology (IT)
Casting,1,,12,,4,5,,,22,Others
Video Production,1,2,7,,9,3,,,22,Business
Linker,1,2,6,,6,7,,,22,Computer Science
Data Structure,1,,6,,9,6,,,22,Computer Science
Bash,,1,13,,2,6,,,22,Computer Science
Lead Generation,,1,11,2,4,4,,,22,Business
iland,,,9,,6,6,,,21,Information Technology (IT)
Pharmacy,1,3,11,,3,3,,,21,Others
Front End,,,9,2,7,2,1,,21,Computer Science
Electromechanics,,2,9,1,2,7,,,21,Others
MS SQL Server,,2,7,2,8,2,,,21,Computer Science
Nice,1,,12,,4,3,,,20,Computer Science
Automotive Engineering,,2,7,,6,5,,,20,Others
Radio,,4,6,1,6,3,,,20,Others
Italian,,3,10,,5,2,,,20,Others
Ecology,,,8,1,6,5,,,20,Others
Source Control,,,11,1,4,4,,,20,Computer Science
Graph Database Management System,,,10,,5,5,,,20,Computer Science
Responsive Design,1,,10,,2,7,,,20,Others
Statistical Model,,1,6,,5,8,,,20,Data Science
NP Completeness,1,1,6,1,9,1,,,19,Computer Science
Regression Analysis,,1,6,,4,8,,,19,Data Science
Unity,2,,8,,3,6,,,19,Others
Spanish,1,1,9,,4,2,1,,18,Others
Content Management,,,2,3,3,10,,,18,Business
Equity,,,6,,2,10,,,18,Business
Localization,1,,4,1,6,6,,,18,Others
Newspapers,2,1,5,,6,4,,,18,Business
Incident Management,1,1,9,,5,2,,,18,Business
Entertainment,,1,8,,3,6,,,18,Others
Market Research Analysis,,1,7,,5,5,,,18,Business
Firewall,2,1,7,,2,6,,,18,Information Technology (IT)
Unix,,,14,,3,1,,,18,Computer Science
Web Analytics,,,11,2,2,3,,,18,Computer Science
Business Ethics,1,1,7,,3,6,,,18,Business
Team Building,,3,8,,6,1,,,18,Business
Agricultural Science,,2,7,1,4,4,,,18,Others
Data Mining,1,2,10,1,2,2,,,18,Data Science
QA Testing,,,8,,4,5,1,,18,Business
Zoom,,2,7,1,4,4,,,18,Business
Database Design,1,,7,3,3,4,,,18,Computer Science
SketchUp,,2,6,,7,3,,,18,Computer Science
Maya,,2,6,2,4,4,,,18,Computer Science
